cyclone_name,day,url,source,num_articles
b'darby',20220716,['https://menafn.com/1104539643/Tropical-Storm-Estelle-Forms-In-Pacific-Off-SouthernMexico'],['menafn.com'],1
b'unnamed',20220820,"['https://kvia.com/news/us-world/cnn-europe-mideast-africa/2022/08/19/gunmen-storm-upscale-hotel-in-somalias-capital/', 'https://www.abc15.com/news/region-west-valley/peoria/thousands-without-power-in-west-valley-following-devastating-storm', 'http://www.orlandosentinel.com/space/os-ne-artemis-launch-hurricane-peak-of-season-20220820-m7dpo2jkj5buhfcqk77zpi4mei-story.html', 'https://www.khaleejtimes.com/business/excise-tax-and-sweetened-drinks-a-little-storm-in-a-teacup', 'https://www.michigansthumb.com/news/article/At-least-10-killed-as-gunmen-storm-hotel-in-17386180.php', 'https://panow.com/2022/08/20/gunmen-storm-hotel-in-somali-capital-leave-20-dead/', 'https://www.kdrv.com/news/firewatch-rrsnf-wildfires-count-up-to-16-since-lightning-storm/article_64a36b06-207c-11ed-94a1-871375240381.html', 'https://www.933thedrive.com/2022/08/20/u-s-nhc-says-70-chance-of-cyclone-forming-over-southwestern-gulf-of-mexico/', 'https://www.gazetteherald.co.uk/news/national/20679782.gunmen-storm-hotel-somali-capital-leaving-least-20-dead/']","['kvia.com', 'abc15.com', 'orlandosentinel.com', 'khaleejtimes.com', 'michigansthumb.com', 'panow.com', 'kdrv.com', '933thedrive.com', 'gazetteherald.co.uk']",9
b'ma-on',20220823,"['https://www.jacksonprogress-argus.com/news/philippines-returns-to-school-for-just-one-day-as-storm-forces-classrooms-to-close-again/article_e3e50661-a9bc-5f5b-ab88-394412ddef76.html', 'https://www.gwinnettdailypost.com/news/philippines-returns-to-school-for-just-one-day-as-storm-forces-classrooms-in-north-to/article_7906d65e-a541-5aaf-b9cf-d464647a7242.html']","['jacksonprogress-argus.com', 'gwinnettdailypost.com']",2
b'ma-on',20220824,"['https://www.theintelligencer.com/news/article/Tropical-Storm-Ma-on-headed-for-southeastern-China-17394251.php', 'https://kdhnews.com/news/world/tropical-storm-ma-on-headed-for-southeastern-china/article_c89c2a62-5998-5446-ac5a-da58e9592ff5.html', 'https://mynorthwest.com/3605779/tropical-storm-ma-on-headed-for-southeastern-china/']","['theintelligencer.com', 'kdhnews.com', 'mynorthwest.com']",3
b'ma-on',20220825,"['https://mynorthwest.com/3607381/tropical-storm-ma-on-heads-to-china-after-hitting-hong-kong/', 'https://www.eagletribune.com/region/tropical-storm-ma-on-makes-landfall-in-southern-china/article_d18624cd-58dd-542b-bc8c-92916fcd2656.html', 'https://english.newstracklive.com/news/tropical-cyclone-maon3-deads-4-injured-reported-in-philippines-sc57-nu318-ta318-1246559-1.html', 'https://www.timesunion.com/news/article/Tropical-storm-Ma-on-heads-to-China-after-hitting-17396560.php', 'https://www.bdtonline.com/news/nation_world/tropical-storm-ma-on-makes-landfall-in-southern-china/article_b1e84d7b-8717-5be8-86b3-d761fd79d1d3.html', 'https://www.wvnews.com/jacksonnewsnewsfeed/world/tropical-storm-ma-on-makes-landfall-in-southern-china/article_b30f8018-4358-59fa-a8d9-a8d542709447.html']","['mynorthwest.com', 'eagletribune.com', 'newstracklive.com', 'timesunion.com', 'bdtonline.com', 'wvnews.com']",6
b'danielle',20220904,"['https://www.dudleynews.co.uk/news/national/20899700.ferries-schools-suspended-china-braces-typhoon-hinnamnor/', 'https://www.lmtonline.com/news/article/East-China-suspends-ferries-classes-as-typhoon-17418409.php', 'https://www.thestandard.com.hk/breaking-news/section/3/194301/East-China-suspends-ferries,-classes-as-typhoon-approaches', 'https://www.dailyadvance.com/news/world/china-japan-ground-ferries-flights-as-typhoon-approaches/article_c9cf5b48-5ebc-5360-aefe-62db6ce2985a.html', 'https://www.hongkongherald.com/news/272720275/china-japan-ground-ferries-flights-as-typhoon-approaches', 'https://wkzo.com/2022/09/04/road-closures-in-battle-creek-area-starting-tuesday-due-to-ongoing-storm-cleanup/', 'https://www.theage.com.au/culture/theatre/i-never-get-stage-fright-julia-hales-sets-sights-on-opera-house-after-taking-the-uk-by-storm-20220829-p5bdqz.html']","['dudleynews.co.uk', 'lmtonline.com', 'thestandard.com.hk', 'dailyadvance.com', 'hongkongherald.com', 'wkzo.com', 'theage.com.au']",7
b'muifa',20220905,['https://kdhnews.com/news/region/east-china-suspends-ferries-classes-as-typhoon-approaches/article_79ce81ab-8c84-5951-bf3f-067cf514dff0.html'],['kdhnews.com'],1
b'kay',20220906,['https://www.wccbcharlotte.com/2022/09/06/hurricane-kay-lashes-southern-mexico-with-rain/'],['wccbcharlotte.com'],1
b'danielle',20220907,"['https://mx.usembassy.gov/weather-alert-hurricane-kay/', 'https://www.thetelegraph.com/news/article/Hurricane-Kay-heads-to-Mexico-s-Baja-California-17424207.php']","['usembassy.gov', 'thetelegraph.com']",2
b'earl',20220909,"['https://www.wcnc.com/article/weather/volunteer-help-charlotte-storm-drains-creeks-water-flooding/275-4f613a7f-e2fe-44f0-afae-9dd8403d1b45', 'https://www.sfchronicle.com/weather-forecast/article/hurricane-kay-weather-17429076.php', 'https://news.yahoo.com/5-years-since-hurricane-irma-195305877.html', 'https://richmond.com/news/local/govt-and-politics/richmond-public-safety-leaders-prepare-for-hurricane-season/article_d3051ad6-a80a-5de7-8e09-20b477c138ab.html']","['wcnc.com', 'sfchronicle.com', 'yahoo.com', 'richmond.com']",4
b'earl',20220910,['https://www.rawstory.com/firefighters-brace-for-mudslides-as-storm-moves-into-california/'],['rawstory.com'],1
b'danielle',20220913,"['http://www.dailypress.com/weather/storms/hurricane-season-2022-20220913-beh23twacffd3djpiehuftt7bq-story.html', 'https://www.metrotvnews.com/play/b1oC847w-typhoon-muifa-sweeps-across-northern-japan']","['dailypress.com', 'metrotvnews.com']",2
b'nanmadol',20220914,['https://www.cotswoldjournal.co.uk/news/national/21486558.typhoon-muifa-heads-shanghai-making-landfall-china/'],['cotswoldjournal.co.uk'],1
